16:26:58.370 > ata - Accel X: -0.462239, Accel Y: -0.273032, Accel Z: 10.231524, Gyro X: -0.305344, Gyro Y: 1.755725, Gyro Z: 0.480916, Temp: 31.730000
16:26:58.387 > MPU6050 Data - Accel X: -0.536484, Accel Y: -0.332908, Accel Z: 10.217154, Gyro X: -0.106870, Gyro Y: 1.656489, Gyro Z: 0.679389, Temp: 31.730000
16:26:58.407 > MPU6050 Data - Accel X: -0.455054, Accel Y: -0.282612, Accel Z: 10.229129, Gyro X: -0.244275, Gyro Y: 1.618321, Gyro Z: 0.572519, Temp: 31.730000
16:26:58.427 > MPU6050 Data - Accel X: -0.538879, Accel Y: -0.217947, Accel Z: 10.219548, Gyro X: -0.152672, Gyro Y: 1.717557, Gyro Z: 0.534351, Temp: 31.824116
16:26:58.447 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.289797, Accel Z: 10.260263, Gyro X: -0.061069, Gyro Y: 1.694656, Gyro Z: 0.656489, Temp: 31.777058
16:26:58.467 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.222737, Accel Z: 10.217154, Gyro X: -0.091603, Gyro Y: 1.641221, Gyro Z: 0.633588, Temp: 31.871176
16:26:58.487 > MPU6050 Data - Accel X: -0.399968, Accel Y: -0.225132, Accel Z: 10.169253, Gyro X: -0.183206, Gyro Y: 1.641221, Gyro Z: 0.694656, Temp: 31.871176
16:26:58.506 > MPU6050 Data - Accel X: -0.397573, Accel Y: -0.316143, Accel Z: 10.205178, Gyro X: -0.175573, Gyro Y: 1.671756, Gyro Z: 0.755725, Temp: 31.824116
16:26:58.526 > MPU6050 Data - Accel X: -0.526904, Accel Y: -0.261057, Accel Z: 10.286609, Gyro X: -0.007634, Gyro Y: 1.709924, Gyro Z: 0.534351, Temp: 31.824116
16:26:58.547 > MPU6050 Data - Accel X: -0.450264, Accel Y: -0.261057, Accel Z: 10.164463, Gyro X: -0.251908, Gyro Y: 1.641221, Gyro Z: 0.580153, Temp: 31.918234
16:26:58.567 > MPU6050 Data - Accel X: -0.510139, Accel Y: -0.227527, Accel Z: 10.157278, Gyro X: -0.106870, Gyro Y: 1.603053, Gyro Z: 0.488550, Temp: 31.871176
16:26:58.587 > MPU6050 Data - Accel X: -0.507744, Accel Y: -0.234712, Accel Z: 10.250684, Gyro X: -0.213740, Gyro Y: 1.549618, Gyro Z: 0.603053, Temp: 31.777058
16:26:58.607 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.265847, Accel Z: 10.214758, Gyro X: -0.015267, Gyro Y: 1.809160, Gyro Z: 0.641221, Temp: 31.777058
16:26:58.627 > MPU6050 Data - Accel X: -0.507744, Accel Y: -0.299377, Accel Z: 10.116563, Gyro X: 0.053435, Gyro Y: 1.786260, Gyro Z: 0.587786, Temp: 31.965294
16:26:58.647 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.253872, Accel Z: 10.154882, Gyro X: -0.076336, Gyro Y: 1.625954, Gyro Z: 0.641221, Temp: 31.824116
16:26:58.667 > MPU6050 Data - Accel X: -0.474214, Accel Y: -0.244292, Accel Z: 10.071057, Gyro X: -0.030534, Gyro Y: 1.587786, Gyro Z: 0.549618, Temp: 31.824116
16:26:58.686 > MPU6050 Data - Accel X: -0.510139, Accel Y: -0.273032, Accel Z: 10.384805, Gyro X: -0.244275, Gyro Y: 1.564885, Gyro Z: 0.526718, Temp: 31.824116
16:26:58.707 > MPU6050 Data - Accel X: -0.464634, Accel Y: -0.232317, Accel Z: 10.152488, Gyro X: 0.030534, Gyro Y: 1.679389, Gyro Z: 0.572519, Temp: 31.871176
16:26:58.727 > MPU6050 Data - Accel X: -0.498164, Accel Y: -0.275427, Accel Z: 10.260263, Gyro X: -0.068702, Gyro Y: 1.587786, Gyro Z: 0.664122, Temp: 31.871176
16:26:58.747 > MPU6050 Data - Accel X: -0.524509, Accel Y: -0.292192, Accel Z: 10.195599, Gyro X: -0.114504, Gyro Y: 1.595420, Gyro Z: 0.664122, Temp: 31.871176
16:26:58.767 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.270637, Accel Z: 10.255474, Gyro X: -0.076336, Gyro Y: 1.786260, Gyro Z: 0.610687, Temp: 31.871176
16:26:58.787 > MPU6050 Data - Accel X: -0.421523, Accel Y: -0.268242, Accel Z: 10.260263, Gyro X: -0.328244, Gyro Y: 1.595420, Gyro Z: 0.694656, Temp: 31.824116
16:26:58.807 > MPU6050 Data - Accel X: -0.452659, Accel Y: -0.282612, Accel Z: 10.197993, Gyro X: -0.152672, Gyro Y: 1.679389, Gyro Z: 0.671756, Temp: 31.824116
16:26:58.827 > MPU6050 Data - Accel X: -0.507744, Accel Y: -0.256267, Accel Z: 10.186018, Gyro X: -0.045802, Gyro Y: 1.656489, Gyro Z: 0.465649, Temp: 31.824116
16:26:58.847 > MPU6050 Data - Accel X: -0.486189, Accel Y: -0.299377, Accel Z: 10.243499, Gyro X: -0.183206, Gyro Y: 1.770992, Gyro Z: 0.633588, Temp: 31.871176
16:26:58.867 > MPU6050 Data - Accel X: -0.423918, Accel Y: -0.275427, Accel Z: 10.217154, Gyro X: -0.068702, Gyro Y: 1.793893, Gyro Z: 0.442748, Temp: 31.777058
16:26:58.887 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.296982, Accel Z: 10.262659, Gyro X: -0.206107, Gyro Y: 1.381679, Gyro Z: 0.488550, Temp: 31.871176
16:26:58.907 > MPU6050 Data - Accel X: -0.450264, Accel Y: -0.292192, Accel Z: 10.164463, Gyro X: -0.427481, Gyro Y: 1.755725, Gyro Z: 0.541985, Temp: 31.824116
16:26:58.927 > MPU6050 Data - Accel X: -0.459844, Accel Y: -0.318538, Accel Z: 10.274633, Gyro X: -0.045802, Gyro Y: 1.786260, Gyro Z: 0.580153, Temp: 32.012352
16:26:58.947 > MPU6050 Data - Accel X: -0.459844, Accel Y: -0.306563, Accel Z: 10.164463, Gyro X: -0.114504, Gyro Y: 1.618321, Gyro Z: 0.587786, Temp: 31.824116
16:26:58.967 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.225132, Accel Z: 10.159673, Gyro X: -0.206107, Gyro Y: 1.587786, Gyro Z: 0.595420, Temp: 31.824116
16:26:58.987 > MPU6050 Data - Accel X: -0.416733, Accel Y: -0.261057, Accel Z: 10.116563, Gyro X: 0.000000, Gyro Y: 1.572519, Gyro Z: 0.541985, Temp: 31.777058
16:26:59.007 > MPU6050 Data - Accel X: -0.579595, Accel Y: -0.246687, Accel Z: 10.169253, Gyro X: -0.099237, Gyro Y: 1.610687, Gyro Z: 0.465649, Temp: 31.871176
16:26:59.027 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.217947, Accel Z: 10.267448, Gyro X: -0.106870, Gyro Y: 1.618321, Gyro Z: 0.503817, Temp: 31.871176
16:26:59.046 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.285007, Accel Z: 10.142908, Gyro X: -0.198473, Gyro Y: 1.694656, Gyro Z: 0.656489, Temp: 31.871176
16:26:59.067 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.249082, Accel Z: 10.250684, Gyro X: -0.053435, Gyro Y: 1.610687, Gyro Z: 0.709924, Temp: 31.918234
16:26:59.087 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.318538, Accel Z: 10.231524, Gyro X: -0.091603, Gyro Y: 1.633588, Gyro Z: 0.549618, Temp: 31.918234
