16:29:30.367 > ets Jul 29 2019 12:21:46
16:29:30.369 > 
16:29:30.369 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
16:29:30.374 > configsip: 0, SPIWP:0xee
16:29:30.376 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
16:29:30.383 > mode:DIO, clock div:2
16:29:30.385 > load:0x3fff0030,len:6276
16:29:30.387 > load:0x40078000,len:15716
16:29:30.389 > load:0x40080400,len:4
16:29:30.391 > ho 8 tail 4 room 4
16:29:30.393 > load:0x40080404,len:3860
16:29:30.395 > entry 0x40080634
16:29:30.399 > I (31) boot: ESP-IDF 5.4.0 2nd stage bootloader
16:29:30.403 > I (31) boot: compile time May  9 2025 16:23:34
16:29:30.407 > I (31) boot: Multicore bootloader
16:29:30.410 > I (32) boot: chip revision: v3.1
16:29:30.413 > I (35) boot.esp32: SPI Speed      : 40MHz
16:29:30.417 > I (39) boot.esp32: SPI Mode       : DIO
16:29:30.420 > I (42) boot.esp32: SPI Flash Size : 4MB
16:29:30.424 > I (46) boot: Enabling RNG early entropy source...
16:29:30.428 > I (51) boot: Partition Table:
16:29:30.431 > I (53) boot: ## Label            Usage          Type ST Offset   Length
16:29:30.438 > I (59) boot:  0 nvs              WiFi data        01 02 00009000 00006000
16:29:30.444 > I (66) boot:  1 phy_init         RF data          01 01 0000f000 00001000
16:29:30.451 > I (72) boot:  2 factory          factory app      00 00 00010000 00100000
16:29:30.457 > I (79) boot: End of partition table
16:29:30.460 > I (82) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b36ch ( 45932) map
16:29:30.472 > I (106) esp_image: segment 1: paddr=0001b394 vaddr=3ff80000 size=0001ch (    28) load
16:29:30.480 > I (106) esp_image: segment 2: paddr=0001b3b8 vaddr=3ffb0000 size=02390h (  9104) load
16:29:30.488 > I (113) esp_image: segment 3: paddr=0001d750 vaddr=40080000 size=028c8h ( 10440) load
16:29:30.495 > I (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=16ae0h ( 92896) map
16:29:30.523 > I (156) esp_image: segment 5: paddr=00036b08 vaddr=400828c8 size=0b8fch ( 47356) load
16:29:30.548 > I (182) boot: Loaded app from partition at offset 0x10000
16:29:30.554 > I (182) boot: Disabling RNG early entropy source...
16:29:30.560 > I (192) cpu_start: Multicore app
16:29:30.567 > I (200) cpu_start: Pro cpu start user code
16:29:30.572 > I (200) cpu_start: cpu freq: 160000000 Hz
16:29:30.575 > I (201) app_init: Application information:
16:29:30.579 > I (201) app_init: Project name:     controls
16:29:30.583 > I (205) app_init: App version:      bb0d269-dirty
16:29:30.587 > I (209) app_init: Compile time:     May  9 2025 16:22:31
16:29:30.592 > I (214) app_init: ELF file SHA256:  ff880882c...
16:29:30.597 > I (218) app_init: ESP-IDF:          5.4.0
16:29:30.601 > I (222) efuse_init: Min chip rev:     v0.0
16:29:30.604 > I (226) efuse_init: Max chip rev:     v3.99 
16:29:30.608 > I (230) efuse_init: Chip rev:         v3.1
16:29:30.612 > I (234) heap_init: Initializing. RAM available for dynamic allocation:
16:29:30.619 > I (240) heap_init: At 3FFAE6E0 len 00001920 (6 KiB): DRAM
16:29:30.624 > I (245) heap_init: At 3FFB2DA8 len 0002D258 (180 KiB): DRAM
16:29:30.629 > I (250) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
16:29:30.634 > I (256) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
16:29:30.640 > I (261) heap_init: At 4008E1C4 len 00011E3C (71 KiB): IRAM
16:29:30.645 > I (268) spi_flash: detected chip: generic
16:29:30.649 > I (270) spi_flash: flash io: dio
16:29:30.652 > W (273) i2c: This driver is an old driver, please migrate your application code to adapt `driver/i2c_master.h`
16:29:30.662 > I (283) main_task: Started on CPU0
16:29:30.665 > I (286) main_task: Calling app_main()
16:29:31.657 > MPU6050 date intialized!
16:29:32.157 > i2c_master_init() done!
16:29:32.160 > MPU6050 woken up successfully.
16:29:32.258 > Sample rate set successfully.
16:29:32.260 > Sensors and Controls Task Started!
16:29:32.264 > Tasks createdI (1890) main_task: Returned from app_main()
16:29:32.269 > X: -0.479004, Y: -0.344883, Z: 10.267448
16:29:32.278 > X: -0.428708, Y: -0.318538, Z: 10.202784
16:29:32.299 > X: -0.397573, Y: -0.285007, Z: 10.265054
16:29:32.319 > X: -0.479004, Y: -0.323328, Z: 10.224339
16:29:32.339 > X: -0.510139, Y: -0.280217, Z: 10.195599
16:29:32.359 > X: -0.495769, Y: -0.184417, Z: 10.214758
16:29:32.379 > X: -0.471819, Y: -0.193997, Z: 10.274633
16:29:32.398 > X: -0.481399, Y: -0.292192, Z: 10.200388
16:29:32.419 > X: -0.452659, Y: -0.344883, Z: 10.310559
16:29:32.439 > X: -0.435894, Y: -0.246687, Z: 10.186018
16:29:32.458 > X: -0.514929, Y: -0.296982, Z: 10.176438
16:29:32.478 > X: -0.488584, Y: -0.241897, Z: 10.154882
16:29:32.498 > X: -0.479004, Y: -0.268242, Z: 10.229129
16:29:32.518 > X: -0.443079, Y: -0.253872, Z: 10.205178
16:29:32.538 > X: -0.467029, Y: -0.294587, Z: 10.212363
16:29:32.558 > X: -0.502954, Y: -0.292192, Z: 10.238708
16:29:32.578 > X: -0.471819, Y: -0.182021, Z: 10.154882
16:29:32.598 > X: -0.510139, Y: -0.253872, Z: 10.219548
16:29:32.618 > X: -0.443079, Y: -0.277822, Z: 10.190808
16:29:32.638 > X: -0.409548, Y: -0.282612, Z: 10.212363
16:29:32.659 > X: -0.486189, Y: -0.253872, Z: 10.255474
16:29:32.679 > X: -0.421523, Y: -0.273032, Z: 10.195599
16:29:32.699 > X: -0.440684, Y: -0.292192, Z: 10.233918
16:29:32.719 > X: -0.462239, Y: -0.244292, Z: 10.265054
16:29:32.739 > X: -0.483794, Y: -0.227527, Z: 10.205178
16:29:32.759 > X: -0.431104, Y: -0.256267, Z: 10.217154
16:29:32.779 > X: -0.435894, Y: -0.277822, Z: 10.159673
16:29:32.799 > X: -0.450264, Y: -0.289797, Z: 10.233918
16:29:32.818 > X: -0.505349, Y: -0.208367, Z: 10.183623
16:29:32.838 > X: -0.483794, Y: -0.261057, Z: 10.248288
16:29:32.858 > X: -0.486189, Y: -0.294587, Z: 10.207573
16:29:32.878 > X: -0.526904, Y: -0.299377, Z: 10.351274
16:29:32.898 > X: -0.416733, Y: -0.227527, Z: 10.169253
16:29:32.918 > X: -0.459844, Y: -0.261057, Z: 10.174043
16:29:32.938 > X: -0.450264, Y: -0.253872, Z: 10.320139
16:29:32.958 > X: -0.462239, Y: -0.244292, Z: 10.214758
16:29:32.978 > X: -0.493374, Y: -0.304167, Z: 10.123748
16:29:32.998 > X: -0.399968, Y: -0.241897, Z: 10.217154
16:29:33.018 > X: -0.502954, Y: -0.299377, Z: 10.212363
16:29:33.038 > X: -0.514929, Y: -0.289797, Z: 10.190808
16:29:33.059 > X: -0.445474, Y: -0.256267, Z: 10.200388
16:29:33.079 > X: -0.486189, Y: -0.203577, Z: 10.169253
16:29:33.099 > X: -0.469424, Y: -0.287402, Z: 10.150093
16:29:33.119 > X: -0.471819, Y: -0.299377, Z: 10.171648
16:29:33.138 > X: -0.457449, Y: -0.227527, Z: 10.202784
16:29:33.159 > X: -0.438289, Y: -0.234712, Z: 10.260263
16:29:33.179 > X: -0.464634, Y: -0.280217, Z: 10.209969
16:29:33.199 > X: -0.471819, Y: -0.256267, Z: 10.214758
16:29:33.219 > X: -0.467029, Y: -0.241897, Z: 10.260263
16:29:33.238 > X: -0.423918, Y: -0.280217, Z: 10.224339
16:29:33.258 > X: -0.421523, Y: -0.282612, Z: 10.224339
16:29:33.279 > X: -0.474214, Y: -0.232317, Z: 10.274633
16:29:33.299 > X: -0.409548, Y: -0.241897, Z: 10.212363
16:29:33.318 > X: -0.419128, Y: -0.239502, Z: 10.265054
16:29:33.339 > X: -0.469424, Y: -0.253872, Z: 10.250684
16:29:33.359 > X: -0.486189, Y: -0.222737, Z: 10.200388
16:29:33.379 > X: -0.490979, Y: -0.304167, Z: 10.262659
16:29:33.399 > X: -0.445474, Y: -0.210762, Z: 10.260263
16:29:33.418 > X: -0.462239, Y: -0.304167, Z: 10.135723
16:29:33.439 > X: -0.505349, Y: -0.280217, Z: 10.207573
16:29:33.458 > X: -0.459844, Y: -0.270637, Z: 10.224339
16:29:33.479 > X: -0.459844, Y: -0.285007, Z: 10.181228
16:29:33.499 > X: -0.459844, Y: -0.316143, Z: 10.236314
16:29:33.519 > X: -0.512534, Y: -0.244292, Z: 10.226733
16:29:33.539 > X: -0.447869, Y: -0.251477, Z: 10.183623
16:29:33.558 > X: -0.464634, Y: -0.179626, Z: 10.219548
16:29:33.578 > X: -0.426313, Y: -0.249082, Z: 10.159673
16:29:33.599 > X: -0.447869, Y: -0.294587, Z: 10.233918
16:29:33.619 > X: -0.476609, Y: -0.263452, Z: 10.159673
16:29:33.639 > X: -0.479004, Y: -0.270637, Z: 10.226733
16:29:33.659 > X: -0.522114, Y: -0.287402, Z: 10.274633
16:29:33.679 > X: -0.481399, Y: -0.299377, Z: 10.195599
16:29:33.698 > X: -0.440684, Y: -0.287402, Z: 10.219548
16:29:33.719 > X: -0.450264, Y: -0.232317, Z: 10.320139
16:29:33.739 > X: -0.435894, Y: -0.189207, Z: 10.202784
16:29:33.758 > X: -0.450264, Y: -0.268242, Z: 10.303374
16:29:33.779 > X: -0.479004, Y: -0.292192, Z: 10.229129
16:29:33.799 > X: -0.462239, Y: -0.246687, Z: 10.159673
16:29:33.819 > X: -0.407153, Y: -0.263452, Z: 10.255474
16:29:33.839 > X: -0.426313, Y: -0.268242, Z: 10.272239
16:29:33.858 > X: -0.474214, Y: -0.287402, Z: 10.356065
16:29:33.878 > X: -0.450264, Y: -0.306563, Z: 10.178833
16:29:33.898 > X: -0.524509, Y: -0.328118, Z: 10.181228
16:29:33.918 > X: -0.474214, Y: -0.337698, Z: 10.219548
16:29:33.939 > X: -0.507744, Y: -0.299377, Z: 10.202784
16:29:33.959 > X: -0.471819, Y: -0.296982, Z: 10.257869
16:29:33.979 > X: -0.452659, Y: -0.249082, Z: 10.186018
16:29:33.999 > X: -0.435894, Y: -0.308958, Z: 10.214758
16:29:34.019 > X: -0.380808, Y: -0.182021, Z: 10.255474
16:29:34.039 > X: -0.512534, Y: -0.285007, Z: 10.231524
16:29:34.059 > X: -0.490979, Y: -0.222737, Z: 10.305769
16:29:34.078 > X: -0.376018, Y: -0.208367, Z: 10.284214
16:29:34.099 > X: -0.462239, Y: -0.308958, Z: 10.260263
16:29:34.119 > X: -0.476609, Y: -0.320933, Z: 10.315350
16:29:34.138 > X: -0.553250, Y: -0.268242, Z: 10.090218
16:29:34.159 > X: -0.502954, Y: -0.296982, Z: 10.245893
16:29:34.179 > X: -0.467029, Y: -0.275427, Z: 10.257869
16:29:34.199 > X: -0.469424, Y: -0.265847, Z: 10.205178
16:29:34.218 > X: -0.467029, Y: -0.287402, Z: 10.197993
16:29:34.238 > X: -0.490979, Y: -0.273032, Z: 10.209969
16:29:34.258 > X: -0.500559, Y: -0.217947, Z: 10.267448
16:29:34.279 > X: -0.474214, Y: -0.318538, Z: 10.135723
16:29:34.299 > X: -0.428708, Y: -0.162861, Z: 10.255474
16:29:34.319 > X: -0.452659, Y: -0.239502, Z: 10.315350
16:29:34.339 > X: -0.421523, Y: -0.234712, Z: 10.231524
16:29:34.359 > X: -0.514929, Y: -0.210762, Z: 10.197993
16:29:34.379 > X: -0.479004, Y: -0.237107, Z: 10.197993
16:29:34.398 > X: -0.474214, Y: -0.263452, Z: 10.224339
16:29:34.418 > X: -0.476609, Y: -0.244292, Z: 10.018367
16:29:34.439 > X: -0.428708, Y: -0.280217, Z: 10.291399
16:29:34.459 > X: -0.500559, Y: -0.337698, Z: 10.403965
16:29:34.479 > X: -0.469424, Y: -0.222737, Z: 10.018367
16:29:34.499 > X: -0.529299, Y: -0.335303, Z: 10.150093
16:29:34.519 > X: -0.467029, Y: -0.270637, Z: 10.348880
16:29:34.538 > X: -0.486189, Y: -0.208367, Z: 10.183623
16:29:34.559 > X: -0.479004, Y: -0.294587, Z: 10.102192
16:29:34.579 > X: -0.502954, Y: -0.349673, Z: 10.217154
16:29:34.599 > X: -0.455054, Y: -0.225132, Z: 10.238708
16:29:34.618 > X: -0.464634, Y: -0.263452, Z: 10.138118
16:29:34.639 > X: -0.459844, Y: -0.251477, Z: 10.188413
16:29:34.659 > X: -0.514929, Y: -0.253872, Z: 10.238708
16:29:34.679 > X: -0.467029, Y: -0.251477, Z: 10.197993
16:29:34.699 > X: -0.392783, Y: -0.258662, Z: 10.205178
16:29:34.719 > X: -0.464634, Y: -0.205972, Z: 10.231524
16:29:34.738 > X: -0.536484, Y: -0.280217, Z: 10.224339
16:29:34.759 > X: -0.474214, Y: -0.270637, Z: 10.219548
16:29:34.779 > X: -0.407153, Y: -0.232317, Z: 10.226733
16:29:34.799 > X: -0.517324, Y: -0.340093, Z: 10.332114
16:29:34.819 > X: -0.450264, Y: -0.330513, Z: 10.159673
16:29:34.839 > X: -0.426313, Y: -0.191602, Z: 10.152488
16:29:34.859 > X: -0.416733, Y: -0.263452, Z: 10.169253
16:29:34.878 > X: -0.471819, Y: -0.229922, Z: 10.202784
16:29:34.899 > X: -0.500559, Y: -0.253872, Z: 10.245893
16:29:34.918 > X: -0.512534, Y: -0.237107, Z: 10.250684
16:29:34.939 > X: -0.486189, Y: -0.299377, Z: 10.224339
16:29:34.959 > X: -0.471819, Y: -0.244292, Z: 10.229129
16:29:34.979 > X: -0.423918, Y: -0.229922, Z: 10.324929
16:29:34.998 > X: -0.443079, Y: -0.234712, Z: 10.164463
16:29:35.019 > X: -0.500559, Y: -0.246687, Z: 10.176438
16:29:35.039 > X: -0.493374, Y: -0.237107, Z: 10.171648
16:29:35.058 > X: -0.440684, Y: -0.172441, Z: 10.212363
16:29:35.078 > X: -0.433499, Y: -0.265847, Z: 10.241103
16:29:35.098 > X: -0.407153, Y: -0.244292, Z: 10.169253
16:29:35.119 > X: -0.438289, Y: -0.282612, Z: 10.214758
16:29:35.138 > X: -0.447869, Y: -0.208367, Z: 10.212363
16:29:35.159 > X: -0.445474, Y: -0.251477, Z: 10.236314
16:29:35.179 > X: -0.471819, Y: -0.239502, Z: 10.269844
16:29:35.199 > X: -0.445474, Y: -0.263452, Z: 10.231524
16:29:35.219 > X: -0.447869, Y: -0.198787, Z: 10.231524
16:29:35.239 > X: -0.498164, Y: -0.241897, Z: 10.241103
16:29:35.258 > X: -0.483794, Y: -0.318538, Z: 10.233918
16:29:35.279 > X: -0.450264, Y: -0.186812, Z: 10.207573
16:29:35.299 > X: -0.433499, Y: -0.320933, Z: 10.207573
16:29:35.319 > X: -0.431104, Y: -0.251477, Z: 10.174043
16:29:35.339 > X: -0.481399, Y: -0.292192, Z: 10.207573
16:29:35.359 > X: -0.531694, Y: -0.239502, Z: 10.257869
16:29:35.379 > X: -0.457449, Y: -0.258662, Z: 10.238708
16:29:35.399 > X: -0.438289, Y: -0.234712, Z: 10.099797
16:29:35.419 > X: -0.514929, Y: -0.270637, Z: 10.245893
16:29:35.439 > X: -0.457449, Y: -0.227527, Z: 10.236314
16:29:35.459 > X: -0.431104, Y: -0.313748, Z: 10.195599
16:29:35.479 > X: -0.440684, Y: -0.246687, Z: 10.231524
16:29:35.499 > X: -0.505349, Y: -0.222737, Z: 10.243499
16:29:35.519 > X: -0.459844, Y: -0.241897, Z: 10.260263
16:29:35.538 > X: -0.467029, Y: -0.273032, Z: 10.142908
16:29:35.559 > X: -0.476609, Y: -0.210762, Z: 10.279424
16:29:35.579 > X: -0.467029, Y: -0.256267, Z: 10.315350
16:29:35.599 > X: -0.419128, Y: -0.282612, Z: 10.193203
16:29:35.619 > X: -0.462239, Y: -0.306563, Z: 10.233918
16:29:35.639 > X: -0.522114, Y: -0.217947, Z: 10.250684
16:29:35.659 > X: -0.419128, Y: -0.241897, Z: 10.241103
16:29:35.678 > X: -0.409548, Y: -0.263452, Z: 10.202784
16:29:35.699 > X: -0.457449, Y: -0.239502, Z: 10.174043
16:29:35.719 > X: -0.479004, Y: -0.268242, Z: 10.207573
16:29:35.739 > X: -0.452659, Y: -0.268242, Z: 10.262659
16:29:35.759 > X: -0.459844, Y: -0.222737, Z: 10.197993
16:29:35.779 > X: -0.495769, Y: -0.277822, Z: 10.164463
16:29:35.799 > X: -0.438289, Y: -0.239502, Z: 10.269844
16:29:35.819 > X: -0.435894, Y: -0.268242, Z: 10.320139
16:29:35.839 > X: -0.514929, Y: -0.277822, Z: 10.253078
16:29:35.859 > X: -0.455054, Y: -0.265847, Z: 10.231524
16:29:35.879 > X: -0.452659, Y: -0.217947, Z: 10.183623
16:29:35.899 > X: -0.483794, Y: -0.332908, Z: 10.221943
16:29:35.919 > X: -0.469424, Y: -0.282612, Z: 10.154882
16:29:35.938 > X: -0.455054, Y: -0.273032, Z: 10.195599
16:29:35.959 > X: -0.431104, Y: -0.323328, Z: 10.166858
16:29:35.979 > X: -0.500559, Y: -0.234712, Z: 10.221943
16:29:35.999 > X: -0.479004, Y: -0.253872, Z: 10.186018
16:29:36.019 > X: -0.474214, Y: -0.347278, Z: 10.289004
16:29:36.039 > X: -0.462239, Y: -0.246687, Z: 10.217154
16:29:36.059 > X: -0.385598, Y: -0.261057, Z: 10.243499
16:29:36.079 > X: -0.476609, Y: -0.270637, Z: 10.229129
16:29:36.098 > X: -0.368833, Y: -0.208367, Z: 10.281818
16:29:36.119 > X: -0.488584, Y: -0.184417, Z: 10.202784
16:29:36.139 > X: -0.443079, Y: -0.277822, Z: 10.224339
16:29:36.159 > X: -0.481399, Y: -0.232317, Z: 10.277029
16:29:36.179 > X: -0.443079, Y: -0.246687, Z: 10.255474
16:29:36.199 > X: -0.447869, Y: -0.237107, Z: 10.250684
16:29:36.219 > X: -0.483794, Y: -0.241897, Z: 10.224339
16:29:36.238 > X: -0.476609, Y: -0.268242, Z: 10.214758
16:29:36.259 > X: -0.409548, Y: -0.229922, Z: 10.186018
16:29:36.279 > X: -0.476609, Y: -0.273032, Z: 10.229129
16:29:36.299 > X: -0.474214, Y: -0.308958, Z: 10.255474
16:29:36.319 > X: -0.419128, Y: -0.256267, Z: 10.260263
16:29:36.339 > X: -0.404758, Y: -0.261057, Z: 10.250684
16:29:36.359 > X: -0.500559, Y: -0.270637, Z: 10.205178
16:29:36.378 > X: -0.416733, Y: -0.287402, Z: 10.253078
16:29:36.398 > X: -0.440684, Y: -0.273032, Z: 10.257869
16:29:36.418 > X: -0.500559, Y: -0.311353, Z: 10.241103
16:29:36.439 > X: -0.490979, Y: -0.282612, Z: 10.085427
16:29:36.458 > X: -0.435894, Y: -0.253872, Z: 10.257869
16:29:36.479 > X: -0.414338, Y: -0.239502, Z: 10.231524
16:29:36.498 > X: -0.474214, Y: -0.318538, Z: 10.238708
16:29:36.518 > X: -0.507744, Y: -0.258662, Z: 10.238708
16:29:36.538 > X: -0.431104, Y: -0.244292, Z: 10.176438
16:29:36.558 > X: -0.495769, Y: -0.222737, Z: 10.186018
16:29:36.578 > X: -0.385598, Y: -0.244292, Z: 10.267448
16:29:36.599 > X: -0.421523, Y: -0.299377, Z: 10.111773
16:29:36.619 > X: -0.483794, Y: -0.265847, Z: 10.255474
16:29:36.639 > X: -0.438289, Y: -0.261057, Z: 10.274633
16:29:36.659 > X: -0.486189, Y: -0.265847, Z: 10.162067
16:29:36.679 > X: -0.457449, Y: -0.308958, Z: 10.193203
16:29:36.698 > X: -0.479004, Y: -0.296982, Z: 10.188413
16:29:36.718 > X: -0.479004, Y: -0.246687, Z: 10.226733
16:29:36.738 > X: -0.433499, Y: -0.265847, Z: 10.118958
16:29:36.758 > X: -0.445474, Y: -0.208367, Z: 10.159673
16:29:36.778 > X: -0.467029, Y: -0.287402, Z: 10.217154
16:29:36.798 > X: -0.452659, Y: -0.241897, Z: 10.190808
16:29:36.818 > X: -0.531694, Y: -0.265847, Z: 10.221943
16:29:36.838 > X: -0.474214, Y: -0.241897, Z: 10.262659
16:29:36.858 > X: -0.443079, Y: -0.335303, Z: 10.190808
16:29:36.878 > X: -0.526904, Y: -0.308958, Z: 10.250684
16:29:36.899 > X: -0.490979, Y: -0.208367, Z: 10.272239
16:29:36.918 > X: -0.452659, Y: -0.296982, Z: 10.212363
16:29:36.938 > X: -0.352068, Y: -0.270637, Z: 10.214758
16:29:36.959 > X: -0.488584, Y: -0.258662, Z: 10.245893
16:29:36.978 > X: -0.483794, Y: -0.261057, Z: 10.279424
16:29:36.999 > X: -0.488584, Y: -0.320933, Z: 10.186018
16:29:37.019 > X: -0.402363, Y: -0.253872, Z: 10.229129
16:29:37.039 > X: -0.469424, Y: -0.285007, Z: 10.305769
16:29:37.058 > X: -0.380808, Y: -0.234712, Z: 10.255474
16:29:37.079 > X: -0.469424, Y: -0.296982, Z: 10.200388
16:29:37.099 > X: -0.409548, Y: -0.246687, Z: 10.255474
16:29:37.119 > X: -0.486189, Y: -0.241897, Z: 10.221943
16:29:37.140 > X: -0.443079, Y: -0.277822, Z: 10.262659
16:29:37.159 > X: -0.440684, Y: -0.301772, Z: 10.260263
16:29:37.179 > X: -0.450264, Y: -0.222737, Z: 10.166858
16:29:37.199 > X: -0.450264, Y: -0.289797, Z: 10.162067
16:29:37.219 > X: -0.452659, Y: -0.265847, Z: 10.188413
16:29:37.239 > X: -0.443079, Y: -0.215552, Z: 10.174043
16:29:37.258 > X: -0.474214, Y: -0.241897, Z: 10.202784
16:29:37.279 > X: -0.500559, Y: -0.292192, Z: 10.214758
16:29:37.299 > X: -0.474214, Y: -0.268242, Z: 10.217154
16:29:37.319 > X: -0.426313, Y: -0.251477, Z: 10.279424
16:29:37.339 > X: -0.440684, Y: -0.239502, Z: 10.255474
16:29:37.360 > X: -0.411943, Y: -0.263452, Z: 10.245893
16:29:37.379 > X: -0.546064, Y: -0.256267, Z: 10.303374
16:29:37.398 > X: -0.467029, Y: -0.273032, Z: 10.293794
16:29:37.418 > X: -0.455054, Y: -0.253872, Z: 10.303374
16:29:37.439 > X: -0.464634, Y: -0.282612, Z: 10.154882
16:29:37.459 > X: -0.469424, Y: -0.311353, Z: 10.260263
16:29:37.479 > X: -0.481399, Y: -0.256267, Z: 10.212363
16:29:37.498 > X: -0.402363, Y: -0.261057, Z: 10.104588
16:29:37.518 > X: -0.490979, Y: -0.261057, Z: 10.317744
16:29:37.538 > X: -0.471819, Y: -0.285007, Z: 10.171648
16:29:37.558 > X: -0.498164, Y: -0.203577, Z: 10.188413
16:29:37.578 > X: -0.490979, Y: -0.268242, Z: 10.312954
16:29:37.598 > X: -0.493374, Y: -0.234712, Z: 10.300979
16:29:37.618 > X: -0.431104, Y: -0.253872, Z: 10.245893
16:29:37.638 > X: -0.426313, Y: -0.261057, Z: 10.176438
16:29:37.658 > X: -0.488584, Y: -0.287402, Z: 10.178833
16:29:37.678 > X: -0.464634, Y: -0.313748, Z: 10.169253
16:29:37.699 > X: -0.522114, Y: -0.306563, Z: 10.138118
16:29:37.718 > X: -0.435894, Y: -0.253872, Z: 10.176438
16:29:37.738 > X: -0.490979, Y: -0.232317, Z: 10.241103
16:29:37.759 > X: -0.368833, Y: -0.287402, Z: 10.224339
16:29:37.779 > X: -0.490979, Y: -0.239502, Z: 10.241103
16:29:37.798 > X: -0.450264, Y: -0.275427, Z: 10.236314
16:29:37.819 > X: -0.447869, Y: -0.196392, Z: 10.281818
16:29:37.838 > X: -0.450264, Y: -0.294587, Z: 10.147697
16:29:37.859 > X: -0.419128, Y: -0.306563, Z: 10.229129
16:29:37.879 > X: -0.495769, Y: -0.273032, Z: 10.224339
16:29:37.899 > X: -0.469424, Y: -0.237107, Z: 10.118958
16:29:37.918 > X: -0.411943, Y: -0.268242, Z: 10.265054
16:29:37.939 > X: -0.469424, Y: -0.198787, Z: 10.145303
