15:20:32.565 > ets Jul 29 2019 12:21:46
15:20:32.567 > 
15:20:32.567 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
15:20:32.572 > configsip: 0, SPIWP:0xee
15:20:32.575 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
15:20:32.581 > mode:DIO, clock div:2
15:20:32.583 > load:0x3fff0030,len:6276
15:20:32.585 > load:0x40078000,len:15716
15:20:32.587 > load:0x40080400,len:4
15:20:32.589 > ho 8 tail 4 room 4
15:20:32.590 > load:0x40080404,len:3860
15:20:32.593 > entry 0x40080634
15:20:32.596 > I (31) boot: ESP-IDF 5.4.0 2nd stage bootloader
15:20:32.601 > I (31) boot: compile time May  9 2025 16:23:34
15:20:32.605 > I (31) boot: Multicore bootloader
15:20:32.608 > I (32) boot: chip revision: v3.1
15:20:32.611 > I (35) boot.esp32: SPI Speed      : 40MHz
15:20:32.615 > I (39) boot.esp32: SPI Mode       : DIO
15:20:32.618 > I (42) boot.esp32: SPI Flash Size : 4MB
15:20:32.622 > I (46) boot: Enabling RNG early entropy source...
15:20:32.626 > I (51) boot: Partition Table:
15:20:32.629 > I (53) boot: ## Label            Usage          Type ST Offset   Length
15:20:32.636 > I (59) boot:  0 nvs              WiFi data        01 02 00009000 00006000
15:20:32.642 > I (66) boot:  1 phy_init         RF data          01 01 0000f000 00001000
15:20:32.648 > I (73) boot:  2 factory          factory app      00 00 00010000 00100000
15:20:32.655 > I (79) boot: End of partition table
15:20:32.658 > I (82) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b36ch ( 45932) map
15:20:32.670 > I (106) esp_image: segment 1: paddr=0001b394 vaddr=3ff80000 size=0001ch (    28) load
15:20:32.678 > I (106) esp_image: segment 2: paddr=0001b3b8 vaddr=3ffb0000 size=02390h (  9104) load
15:20:32.685 > I (113) esp_image: segment 3: paddr=0001d750 vaddr=40080000 size=028c8h ( 10440) load
15:20:32.693 > I (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=16ae0h ( 92896) map
15:20:32.721 > I (156) esp_image: segment 5: paddr=00036b08 vaddr=400828c8 size=0b8fch ( 47356) load
15:20:32.747 > I (182) boot: Loaded app from partition at offset 0x10000
15:20:32.751 > I (182) boot: Disabling RNG early entropy source...
15:20:32.758 > I (192) cpu_start: Multicore app
15:20:32.765 > I (200) cpu_start: Pro cpu start user code
15:20:32.769 > I (200) cpu_start: cpu freq: 160000000 Hz
15:20:32.773 > I (201) app_init: Application information:
15:20:32.777 > I (201) app_init: Project name:     controls
15:20:32.781 > I (205) app_init: App version:      bb0d269-dirty
15:20:32.785 > I (209) app_init: Compile time:     May  9 2025 16:22:31
15:20:32.790 > I (214) app_init: ELF file SHA256:  ff880882c...
15:20:32.795 > I (218) app_init: ESP-IDF:          5.4.0
15:20:32.798 > I (222) efuse_init: Min chip rev:     v0.0
15:20:32.802 > I (226) efuse_init: Max chip rev:     v3.99 
15:20:32.806 > I (230) efuse_init: Chip rev:         v3.1
15:20:32.810 > I (234) heap_init: Initializing. RAM available for dynamic allocation:
15:20:32.816 > I (240) heap_init: At 3FFAE6E0 len 00001920 (6 KiB): DRAM
15:20:32.820 > I (245) heap_init: At 3FFB2DA8 len 0002D258 (180 KiB): DRAM
15:20:32.826 > I (250) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
15:20:32.831 > I (256) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
15:20:32.837 > I (261) heap_init: At 4008E1C4 len 00011E3C (71 KiB): IRAM
15:20:32.842 > I (268) spi_flash: detected chip: generic
15:20:32.846 > I (270) spi_flash: flash io: dio
15:20:32.849 > W (273) i2c: This driver is an old driver, please migrate your application code to adapt `driver/i2c_master.h`
15:20:32.859 > I (284) main_task: Started on CPU0
15:20:32.862 > I (287) main_task: Calling app_main()
15:20:33.854 > MPU6050 date intialized!
15:20:34.354 > i2c_master_init() done!
15:20:34.356 > MPU6050 woken up successfully.
15:20:34.455 > Sample rate set successfully.
15:20:34.458 > Sensors and Controls Task Started!
15:20:34.460 > Tasks createdI (1890) main_task: Returned from app_main()
15:20:34.466 > X: -0.416733, Y: 0.280217, Z: 10.286609
15:20:34.475 > X: -0.455054, Y: 0.294587, Z: 10.245893
15:20:34.495 > X: -0.462239, Y: 0.253872, Z: 10.260263
15:20:34.515 > X: -0.490979, Y: 0.268242, Z: 10.224339
15:20:34.535 > X: -0.486189, Y: 0.253872, Z: 10.233918
15:20:34.555 > X: -0.409548, Y: 0.287402, Z: 10.250684
15:20:34.575 > X: -0.476609, Y: 0.253872, Z: 10.233918
15:20:34.596 > X: -0.464634, Y: 0.282612, Z: 10.236314
15:20:34.616 > X: -0.474214, Y: 0.258662, Z: 10.277029
15:20:34.635 > X: -0.514929, Y: 0.256267, Z: 10.150093
15:20:34.655 > X: -0.471819, Y: 0.296982, Z: 10.303374
15:20:34.675 > X: -0.459844, Y: 0.277822, Z: 10.226733
15:20:34.696 > X: -0.481399, Y: 0.342488, Z: 10.243499
15:20:34.715 > X: -0.455054, Y: 0.256267, Z: 10.336905
15:20:34.736 > X: -0.474214, Y: 0.232317, Z: 10.274633
15:20:34.756 > X: -0.467029, Y: 0.261057, Z: 10.274633
15:20:34.776 > X: -0.488584, Y: 0.318538, Z: 10.195599
15:20:34.796 > X: -0.433499, Y: 0.296982, Z: 10.214758
15:20:34.815 > X: -0.493374, Y: 0.265847, Z: 10.281818
15:20:34.836 > X: -0.402363, Y: 0.344883, Z: 10.154882
15:20:34.855 > X: -0.471819, Y: 0.285007, Z: 10.238708
15:20:34.875 > X: -0.486189, Y: 0.249082, Z: 10.327324
15:20:34.895 > X: -0.407153, Y: 0.217947, Z: 10.245893
15:20:34.915 > X: -0.359253, Y: 0.313748, Z: 10.186018
15:20:34.936 > X: -0.500559, Y: 0.251477, Z: 10.212363
15:20:34.956 > X: -0.445474, Y: 0.282612, Z: 10.298584
15:20:34.976 > X: -0.488584, Y: 0.299377, Z: 10.200388
15:20:34.995 > X: -0.397573, Y: 0.246687, Z: 10.375225
15:20:35.015 > X: -0.455054, Y: 0.232317, Z: 10.260263
15:20:35.035 > X: -0.419128, Y: 0.225132, Z: 10.226733
15:20:35.056 > X: -0.471819, Y: 0.268242, Z: 10.289004
15:20:35.075 > X: -0.419128, Y: 0.316143, Z: 10.226733
15:20:35.096 > X: -0.409548, Y: 0.258662, Z: 10.229129
15:20:35.115 > X: -0.378413, Y: 0.229922, Z: 10.250684
15:20:35.135 > X: -0.474214, Y: 0.177231, Z: 10.260263
15:20:35.155 > X: -0.469424, Y: 0.273032, Z: 10.291399
15:20:35.175 > X: -0.498164, Y: 0.215552, Z: 10.219548
15:20:35.195 > X: -0.364043, Y: 0.285007, Z: 10.238708
15:20:35.215 > X: -0.409548, Y: 0.275427, Z: 10.272239
15:20:35.235 > X: -0.378413, Y: 0.282612, Z: 10.312954
15:20:35.255 > X: -0.493374, Y: 0.213157, Z: 10.260263
15:20:35.275 > X: -0.543669, Y: 0.253872, Z: 10.289004
15:20:35.296 > X: -0.474214, Y: 0.244292, Z: 10.231524
15:20:35.316 > X: -0.423918, Y: 0.246687, Z: 10.293794
15:20:35.335 > X: -0.483794, Y: 0.227527, Z: 10.260263
15:20:35.355 > X: -0.435894, Y: 0.323328, Z: 10.286609
15:20:35.375 > X: -0.519719, Y: 0.285007, Z: 10.300979
15:20:35.395 > X: -0.474214, Y: 0.191602, Z: 10.221943
15:20:35.415 > X: -0.433499, Y: 0.306563, Z: 10.324929
15:20:35.435 > X: -0.481399, Y: 0.249082, Z: 10.214758
15:20:35.455 > X: -0.469424, Y: 0.318538, Z: 10.322535
15:20:35.475 > X: -0.407153, Y: 0.313748, Z: 10.308164
15:20:35.495 > X: -0.500559, Y: 0.261057, Z: 10.142908
15:20:35.515 > X: -0.459844, Y: 0.239502, Z: 10.281818
15:20:35.535 > X: -0.488584, Y: 0.285007, Z: 10.178833
15:20:35.555 > X: -0.440684, Y: 0.191602, Z: 10.243499
15:20:35.575 > X: -0.392783, Y: 0.217947, Z: 10.305769
15:20:35.595 > X: -0.431104, Y: 0.320933, Z: 10.267448
15:20:35.615 > X: -0.476609, Y: 0.246687, Z: 10.212363
15:20:35.635 > X: -0.359253, Y: 0.371228, Z: 10.334509
15:20:35.655 > X: -0.570015, Y: 0.234712, Z: 10.449471
15:20:35.675 > X: -0.443079, Y: 0.268242, Z: 10.169253
